cutegram v2.7.1
libqtelegram-ae v6.1-stable
lsw 0.3
pdfpc v4.0.2
pelican 3.7.0
powerline 2.4
python2-smartypants 2.0.0
python-feedgenerator 1.8
python-ghp-import 0.4.2
python-mdx-video 0.1.8
python-pdfrw 0.2
python-rst2pdf 0.93
python-smartypants 2.0.0
python-typogrify 2.0.7
qtox v1.4.1.1
retext 6.0.1
telegramqml v0.9.2
toxic v0.7.0
ttf-hanazono 20160201
